,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,Female,Group f,Bachelor's degree,Standard,Start,Married,Regularly,Yes,3,School_bus,0-5,71,71,74
1,Female,Group c,college degree,Standard,In progress,Married,Sometimes,Yes,0,Own car,5-10,69,90,88
2,Female,Group b,Master's degree,Standard,Start,Single,Sometimes,Yes,4,School_bus,0-5,87,93,91
3,Male,Group a,Associate's degree,Free,Start,Married,Never,No,1,Own car,5-10,45,56,42
4,Male,Group c,college degree,Standard,Start,Married,Sometimes,Yes,0,School_bus,5-10,76,78,75
5,Female,Group b,Associate's degree,Standard,Start,Married,Regularly,Yes,1,School_bus,5-10,73,84,79
6,Female,Group b,college degree,Standard,Completed,Widowed,Never,No,1,Private car,5-10,85,93,89
7,Male,Group b,college degree,Free,Start,Married,Sometimes,Yes,1,Private car,0-10,41,43,39
8,Male,Group d,High school,Free,Completed,Single,Sometimes,No,3,Private car,0-10,65,64,68
9,Female,Group b,High school,Free,Start,Married,Regularly,Yes,2,Private car,0-5,37,59,50
11,Male,Group d,Associate's degree,Standard,Start,Divorced,Sometimes,Yes,1,School_bus,5-10,40,52,43
12,Female,Group b,High school,Standard,Start,Married,Regularly,No,1,Private car,5-10,66,82,74
13,Male,Group a,college degree,Standard,Completed,Single,Sometimes,Yes,1,Private car,0-10,80,73,71
14,Female,Group a,Master's degree,Standard,Start,Divorced,Sometimes,Yes,2,Private car,0-5,48,53,58
15,Female,Group c,law degree,Standard,Start,Married,Sometimes,Yes,0,Private car,10-15,69,75,78
16,Male,Group c,High school,Standard,In progress,Married,Sometimes,Yes,0,School_bus,5-10,88,89,86
17,Female,Group b,law degree,Free,Start,Divorced,Sometimes,Yes,1,School_bus,5-10,18,32,28
18,Male,Group c,Master's degree,Free,Completed,Single,Sometimes,No,1,Private car,5-10,46,42,47
19,Female,Group c,Associate's degree,Free,Start,Married,Never,Yes,3,Private car,0-5,50,56,58
20,Male,Group d,High school,Standard,Start,Married,Sometimes,Yes,5,School_bus,5-10,66,69,63
21,Female,Group b,college degree,Free,Completed,Married,Sometimes,No,2,School_bus,5-10,65,75,70
22,Male,Group d,Professional certification,Standard,Start,Married,Never,Yes,5,Own car,5-10,42,53,51
23,Female,Group c,law degree,Standard,Start,Divorced,Never,No,3,Own car,5-10,66,71,71
