cellphone_id,brand,model,operating system,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release date,description
0,Apple,iPhone SE (2022),iOS,128,4,7.23,12,7,2018,4.7,144,429,18/03/2022,"Apple iPhone SE (2022): Powered by iOS, with 4GB RAM and 128GB storage. Features a 12MP main camera and 7MP selfie camera. Battery 2018mAh, 4.7-inch display, weighing 144g. Performance score 7.23/10. Released on 18/03/2022, priced at $429."
1,Apple,iPhone 13 Mini,iOS,128,4,7.72,12,12,2438,5.4,141,699,24/09/2021,"Apple iPhone 13 Mini: Powered by iOS, with 4GB RAM and 128GB storage. Features a 12MP main camera and 12MP selfie camera. Battery 2438mAh, 5.4-inch display, weighing 141g. Performance score 7.72/10. Released on 24/09/2021, priced at $699."
2,Apple,iPhone 13,iOS,128,4,7.75,12,12,3240,6.1,174,699,24/09/2021,"Apple iPhone 13: Powered by iOS, with 4GB RAM and 128GB storage. Features a 12MP main camera and 12MP selfie camera. Battery 3240mAh, 6.1-inch display, weighing 174g. Performance score 7.75/10. Released on 24/09/2021, priced at $699."
3,Apple,iPhone 13 Pro,iOS,256,6,7.94,12,12,3065,6.1,204,999,24/09/2021,"Apple iPhone 13 Pro: Powered by iOS, with 6GB RAM and 256GB storage. Features a 12MP main camera and 12MP selfie camera. Battery 3065mAh, 6.1-inch display, weighing 204g. Performance score 7.94/10. Released on 24/09/2021, priced at $999."
4,Apple,iPhone 13 Pro Max,iOS,256,6,8.01,12,12,4352,6.7,240,1199,24/09/2021,"Apple iPhone 13 Pro Max: Powered by iOS, with 6GB RAM and 256GB storage. Features a 12MP main camera and 12MP selfie camera. Battery 4352mAh, 6.7-inch display, weighing 240g. Performance score 8.01/10. Released on 24/09/2021, priced at $1199."
5,Apple,iPhone XR,iOS,64,3,4.22,12,7,2942,6.1,194,236,26/10/2018,"Apple iPhone XR: Powered by iOS, with 3GB RAM and 64GB storage. Features a 12MP main camera and 7MP selfie camera. Battery 2942mAh, 6.1-inch display, weighing 194g. Performance score 4.22/10. Released on 26/10/2018, priced at $236."
6,Asus,Zenfone 8,Android,128,8,6.76,64,12,4000,5.9,169,599,12/05/2021,"Asus Zenfone 8: Powered by Android, with 8GB RAM and 128GB storage. Features a 64MP main camera and 12MP selfie camera. Battery 4000mAh, 5.9-inch display, weighing 169g. Performance score 6.76/10. Released on 12/05/2021, priced at $599."
7,Samsung,Galaxy A13,Android,32,3,1.36,50,8,5000,6.6,196,154,23/03/2022,"Samsung Galaxy A13: Powered by Android, with 3GB RAM and 32GB storage. Features a 50MP main camera and 8MP selfie camera. Battery 5000mAh, 6.6-inch display, weighing 196g. Performance score 1.36/10. Released on 23/03/2022, priced at $154."
8,Samsung,Galaxy A32,Android,64,4,2.2,48,13,5000,6.5,205,199,22/01/2021,"Samsung Galaxy A32: Powered by Android, with 4GB RAM and 64GB storage. Features a 48MP main camera and 13MP selfie camera. Battery 5000mAh, 6.5-inch display, weighing 205g. Performance score 2.2/10. Released on 22/01/2021, priced at $199."
9,Samsung,Galaxy A53,Android,128,6,3.79,64,32,5000,6.5,189,312,24/03/2022,"Samsung Galaxy A53: Powered by Android, with 6GB RAM and 128GB storage. Features a 64MP main camera and 32MP selfie camera. Battery 5000mAh, 6.5-inch display, weighing 189g. Performance score 3.79/10. Released on 24/03/2022, priced at $312."
10,Samsung,Galaxy S22,Android,128,8,8.81,50,10,3700,6.1,167,528,25/02/2022,"Samsung Galaxy S22: Powered by Android, with 8GB RAM and 128GB storage. Features a 50MP main camera and 10MP selfie camera. Battery 3700mAh, 6.1-inch display, weighing 167g. Performance score 8.81/10. Released on 25/02/2022, priced at $528."
11,Samsung,Galaxy S22 Plus,Android,128,8,7.22,50,10,4500,6.6,195,899,25/02/2022,"Samsung Galaxy S22 Plus: Powered by Android, with 8GB RAM and 128GB storage. Features a 50MP main camera and 10MP selfie camera. Battery 4500mAh, 6.6-inch display, weighing 195g. Performance score 7.22/10. Released on 25/02/2022, priced at $899."
12,Samsung,Galaxy S22 Ultra,Android,128,8,9.68,108,40,5000,6.8,228,840,25/02/2022,"Samsung Galaxy S22 Ultra: Powered by Android, with 8GB RAM and 128GB storage. Features a 108MP main camera and 40MP selfie camera. Battery 5000mAh, 6.8-inch display, weighing 228g. Performance score 9.68/10. Released on 25/02/2022, priced at $840."
13,Samsung,Galaxy Z Flip 3,Android,128,8,5.96,12,10,3300,6.7,183,899,11/08/2021,"Samsung Galaxy Z Flip 3: Powered by Android, with 8GB RAM and 128GB storage. Features a 12MP main camera and 10MP selfie camera. Battery 3300mAh, 6.7-inch display, weighing 183g. Performance score 5.96/10. Released on 11/08/2021, priced at $899."
14,Samsung,Galaxy Z Fold 3,Android,256,12,6.35,12,4,4400,7.6,271,1799,11/08/2021,"Samsung Galaxy Z Fold 3: Powered by Android, with 12GB RAM and 256GB storage. Features a 12MP main camera and 4MP selfie camera. Battery 4400mAh, 7.6-inch display, weighing 271g. Performance score 6.35/10. Released on 11/08/2021, priced at $1799."
15,Google,Pixel 6  ,Android,128,8,6.76,50,8,4614,6.4,207,499,28/10/2021,"Google Pixel 6  : Powered by Android, with 8GB RAM and 128GB storage. Features a 50MP main camera and 8MP selfie camera. Battery 4614mAh, 6.4-inch display, weighing 207g. Performance score 6.76/10. Released on 28/10/2021, priced at $499."
16,Google,Pixel 6a,Android,128,6,6.88,12,8,4410,6.1,178,449,21/07/2021,"Google Pixel 6a: Powered by Android, with 6GB RAM and 128GB storage. Features a 12MP main camera and 8MP selfie camera. Battery 4410mAh, 6.1-inch display, weighing 178g. Performance score 6.88/10. Released on 21/07/2021, priced at $449."
17,Google,Pixel 6 Pro ,Android,128,12,7.19,50,11,5003,6.7,210,699,28/10/2021,"Google Pixel 6 Pro : Powered by Android, with 12GB RAM and 128GB storage. Features a 50MP main camera and 11MP selfie camera. Battery 5003mAh, 6.7-inch display, weighing 210g. Performance score 7.19/10. Released on 28/10/2021, priced at $699."
